# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr  2 11:43:16 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_facility like '%K2%')
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_facility:    Discovery Facility
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_hostname,pl_letter,pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_facility,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
HD 106315,c,HD 106315 c,21.05788000,0.00132000,-0.00133000,0,0.153300,0.001600,-0.001700,0,,,,0,,,,0,,,,0,,0.385,0.009,-0.007,0,,,,0,0,12h13m53.39s,183.472473,-00d23m36.5s,-0.393484,109.70,0.70,-0.70,0,8.951,0.018,0,V (Johnson),8.888,,0,6277.00,52.00,-51.00,0,1.08,0.03,-0.04,0,1.29,0.02,-0.02,0,2457590.073200,0.002100,-0.002000,0,K2,4.25,0.02,-0.02,0,,,,0
HD 3167,b,HD 3167 b,0.95962400,0.00002800,-0.00002800,0,0.018600,0.000300,-0.000300,0,,,,0,,,,0,,,,0,,0.152,0.007,-0.007,0,,,,0,0,00h34m57.52s,8.739684,+04d22m53.3s,4.381469,47.36,0.15,-0.15,0,8.940,0.020,0,V (Johnson),8.762,,0,5528.00,162.00,-162.00,0,0.94,0.04,-0.04,0,0.87,0.01,-0.01,0,2457393.415390,0.001300,-0.001350,0,K2,4.53,0.02,-0.02,0,,,,0
HD 3167,c,HD 3167 c,29.83832000,0.00290500,-0.00319900,0,0.184100,0.002700,-0.002800,0,,,,0,,,,0,,,,0,,0.255,0.020,-0.020,0,,,,0,0,00h34m57.52s,8.739684,+04d22m53.3s,4.381469,47.36,0.15,-0.15,0,8.940,0.020,0,V (Johnson),8.762,,0,5528.00,162.00,-162.00,0,0.94,0.04,-0.04,0,0.87,0.01,-0.01,0,2457394.989840,0.003670,-0.003260,0,K2,4.53,0.02,-0.02,0,,,,0
HD 89345,b,HD 89345 b,11.81430000,0.00020000,-0.00020000,0,0.106600,0.001200,-0.001400,0,0.220000,0.095000,-0.130000,0,87.210,0.430,-0.220,0,0.11000,0.01700,-0.01800,0,Mass,0.660,0.028,-0.030,0,0.47100,0.09400,-0.08400,0,0,10h18m41.06s,154.671066,+10d07m44.5s,10.129028,132.80,1.80,-1.70,0,9.376,0.028,0,V (Johnson),9.217,,0,5576.00,73.00,-76.00,0,1.16,0.04,-0.04,0,1.75,0.05,-0.05,0,2457913.805200,0.001100,-0.001000,0,K2,4.02,0.03,-0.03,0,0.425,0.024,-0.027,0
HIP 116454,b,HIP 116454 b,9.12050000,0.00050000,-0.00050000,0,,,,0,0.200000,0.070000,-0.070000,0,88.430,0.400,-0.400,0,0.04000,0.01000,-0.01000,0,Mass,0.220,0.010,-0.010,0,,,,0,0,23h35m49.28s,353.955353,+00d26m43.9s,0.445516,55.20,5.40,-5.40,0,10.190,0.009,0,V (Johnson),9.932,,0,5089.00,50.00,-50.00,0,0.81,0.11,-0.11,0,0.72,0.02,-0.02,0,,,,0,K2,4.59,0.03,-0.03,0,,,,0
HIP 41378,b,HIP 41378 b,15.57120000,0.00120000,-0.00120000,0,,,,,,,,,88.400,1.600,-1.600,0,,,,,,0.259,0.039,-0.039,0,,,,,0,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,0.67,-0.67,0,8.930,,0,V (Johnson),8.810,,0,6199.00,50.00,-50.00,0,1.15,0.06,-0.06,0,1.40,0.19,-0.19,0,2457152.284400,0.002100,-0.002100,0,K2,4.18,0.10,-0.10,0,,,,
HIP 41378,c,HIP 41378 c,31.69780000,0.00400000,-0.00400000,0,,,,,,,,,89.580,0.520,-0.520,0,,,,,,0.228,0.036,-0.036,0,,,,,0,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,0.67,-0.67,0,8.930,,0,V (Johnson),8.810,,0,6199.00,50.00,-50.00,0,1.15,0.06,-0.06,0,1.40,0.19,-0.19,0,2457163.165900,0.002700,-0.002700,0,K2,4.18,0.10,-0.10,0,,,,
HIP 41378,d,HIP 41378 d,156.00000000,163.00000000,-78.00000000,0,,,,,,,,,,,,,,,,,,0.353,0.053,-0.053,0,,,,,0,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,0.67,-0.67,0,8.930,,0,V (Johnson),8.810,,0,6199.00,50.00,-50.00,0,1.15,0.06,-0.06,0,1.40,0.19,-0.19,0,2457166.262900,0.001600,-0.001600,0,K2,4.18,0.10,-0.10,0,,,,
HIP 41378,e,HIP 41378 e,131.00000000,61.00000000,-36.00000000,0,,,,,,,,,,,,,,,,,,0.492,0.069,-0.069,0,,,,,0,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,0.67,-0.67,0,8.930,,0,V (Johnson),8.810,,0,6199.00,50.00,-50.00,0,1.15,0.06,-0.06,0,1.40,0.19,-0.19,0,2457142.016560,0.000760,-0.000760,0,K2,4.18,0.10,-0.10,0,,,,
HIP 41378,f,HIP 41378 f,324.00000000,121.00000000,-126.00000000,0,,,,,,,,,,,,,,,,,,0.910,0.125,-0.125,0,,,,,0,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,0.67,-0.67,0,8.930,,0,V (Johnson),8.810,,0,6199.00,50.00,-50.00,0,1.15,0.06,-0.06,0,1.40,0.19,-0.19,0,2457186.914510,0.000320,-0.000320,0,K2,4.18,0.10,-0.10,0,,,,
K2-10,b,K2-10 b,19.30440000,0.00120000,-0.00120000,0,,,,,0.310000,0.160000,-0.180000,0,,,,,0.08495,0.05349,-0.05034,0,Mass,0.343,0.031,-0.030,0,2.60000,2.10000,-1.60000,0,0,11h28m29.27s,172.121964,+01d41m26.3s,1.690636,274.48,3.10,-3.10,0,12.418,0.020,0,V (Johnson),12.216,,0,5620.00,70.00,-70.00,0,0.92,0.05,-0.05,0,0.98,0.08,-0.08,0,2456819.581400,0.002100,-0.002100,0,K2,4.50,0.08,-0.08,0,,,,
K2-100,b,K2-100 b,1.67383300,0.00004900,-0.00005000,0,0.029600,0.000200,-0.000200,0,,,,0,,,,0,,,,0,,0.320,0.012,-0.012,0,,,,0,0,08h38m24.30s,129.601257,+20d06m21.8s,20.106064,190.04,2.44,-2.44,0,10.651,0.089,0,V (Johnson),10.405,,0,6168.00,62.00,-62.00,0,1.23,0.02,-0.02,0,1.22,0.02,-0.02,0,2457140.720620,0.001260,-0.001270,0,K2,4.35,0.01,-0.01,0,,,,0
K2-101,b,K2-101 b,14.67728600,0.00082800,-0.00080400,0,,,,,0.100000,0.180000,-0.080000,0,89.400,0.400,-0.500,0,,,,,,0.178,0.009,-0.009,0,,,,,0,08h41m22.58s,130.344086,+18d56m01.9s,18.933874,189.33,2.11,-2.11,0,12.957,0.020,0,V (Johnson),12.662,,0,4819.00,45.00,-45.00,0,0.80,0.06,-0.06,0,0.73,0.03,-0.03,0,2457152.681350,0.002230,-0.002300,0,K2,,,,,-0.595,0.016,-0.016,0
K2-102,b,K2-102 b,9.91561500,0.00120900,-0.00119500,0,,,,,0.100000,0.160000,-0.070000,0,89.000,0.600,-0.600,0,,,,,,0.116,0.009,-0.009,0,,,,,0,08h40m13.45s,130.056046,+19d46m43.7s,19.778811,189.17,2.05,-2.05,0,13.200,0.010,0,V (Johnson),12.847,,0,4695.00,50.00,-50.00,0,0.77,0.06,-0.06,0,0.71,0.03,-0.03,0,2457139.655180,0.005520,-0.005520,0,K2,,,,,-0.657,0.016,-0.016,0
K2-104,b,K2-104 b,1.97423800,0.00011000,-0.00011000,0,0.023000,0.001000,-0.001000,0,0.090000,0.167783,-0.072670,0,88.000,1.340,-1.480,0,,,,0,,0.175,0.013,-0.013,0,,,,0,0,08h38m32.82s,129.636749,+19d46m25.8s,19.773829,190.21,3.92,-3.92,0,15.149,,0,Kepler-band,15.395,,0,3546.46,98.71,-94.56,0,0.43,0.06,-0.07,0,0.49,0.03,-0.03,0,2457175.915000,0.001000,-0.001000,0,K2,,,,0,,,,0
K2-105,b,K2-105 b,8.26770400,0.00035000,-0.00031800,0,0.079600,0.000700,-0.000700,0,,,,0,,,,0,,,,0,,0.301,0.011,-0.011,0,,,,0,0,08h21m40.87s,125.420280,+13d29m51.1s,13.497530,199.28,1.50,-1.50,0,11.752,0.195,0,V (Johnson),11.712,,0,5464.00,65.00,-65.00,0,0.99,0.03,-0.03,0,0.91,0.01,-0.01,0,2457147.987080,0.001480,-0.001640,0,K2,4.51,0.02,-0.02,0,,,,0
K2-107,b,K2-107 b,3.31395900,0.00002400,-0.00002400,0,0.047500,0.000600,-0.000600,0,,,,0,,,,0,,,,0,,1.426,0.049,-0.049,0,,,,0,0,18h59m56.49s,284.985382,-22d17m36.2s,-22.293402,696.95,19.71,-19.71,0,12.920,0.010,0,V (Johnson),12.767,,0,6061.00,96.00,-96.00,0,1.30,0.05,-0.05,0,1.81,0.06,-0.06,0,2457311.151780,0.000300,-0.000300,0,K2,4.04,0.03,-0.03,0,,,,0
K2-108,b,K2-108 b,4.73399900,0.00022100,-0.00022700,0,0.058100,0.000900,-0.000900,0,,,,0,,,,0,,,,0,,0.476,0.019,-0.019,0,,,,0,0,08h13m31.65s,123.381874,+16d25m10.6s,16.419609,484.99,9.78,-9.78,0,12.330,0.010,0,V (Johnson),12.170,,0,5599.00,87.00,-87.00,0,1.17,0.06,-0.06,0,1.76,0.04,-0.04,0,2457145.096090,0.001720,-0.001720,0,K2,4.02,0.03,-0.03,0,,,,0
K2-11,b,K2-11 b,39.93767000,0.23229000,-0.23229000,0,0.225700,0.014300,-0.014300,0,,,,,,,,,,,,,,0.674,0.832,-0.832,0,,,,,0,11h16m10.08s,169.042007,+01d59m12.6s,1.986840,332.46,2.69,-2.69,0,13.386,0.090,0,V (Johnson),13.150,,0,5433.00,49.00,-144.00,0,1.35,0.04,-0.56,0,5.15,0.20,-4.39,0,2456829.829000,0.115600,-0.115600,0,K2,,,,,,,,
K2-110,b,K2-110 b,13.86387000,0.00032500,-0.00032900,0,0.102700,0.001100,-0.001100,0,,,,0,,,,0,,,,0,,0.228,0.006,-0.006,0,,,,0,0,13h49m23.89s,207.349533,-12d17m04.2s,-12.284491,116.84,0.43,-0.43,0,11.915,0.070,0,V (Johnson),11.663,,0,4950.00,58.00,-58.00,0,0.75,0.02,-0.02,0,0.71,0.01,-0.01,0,2457233.739130,0.000790,-0.000800,0,K2,4.61,0.02,-0.02,0,,,,0
K2-111,b,K2-111 b,5.35117000,0.00055000,-0.00055000,0,0.062100,0.009200,-0.008500,0,0.000000,,,0,86.200,1.000,-1.000,0,0.02706,0.01227,-0.01227,0,Mass,0.170,0.018,-0.018,0,6.60000,4.50000,-3.20000,0,0,03h59m33.54s,59.889755,+21d17m55.3s,21.298685,201.51,2.74,-2.74,0,11.137,0.040,0,V (Johnson),10.929,,0,5730.00,50.00,-50.00,0,0.88,0.02,-0.02,0,1.23,0.10,-0.10,0,2457067.970400,0.004400,-0.003900,0,K2,4.15,0.10,-0.10,0,0.279,0.083,-0.103,0
